Date,Rain,Tmax,Tmin,Rhum,Esol
1/1/2013,0,34.2,23.5,66.92326389,472.3492823
1/2/2013,0,33.7,22.2,66.68402778,390.5885167
1/3/2013,0,34.5,23.7,63.70972222,447.0645933
1/4/2013,0,33,23.5,65.51666667,413.6698565
1/5/2013,0,33.9,23.3,68.34340278,392.5909091
1/6/2013,0,34.2,23.2,66.83194444,433.5215311
1/7/2013,0,33.7375,23.95714286,66.48492063,415.4641148
1/8/2013,0,34.9,23.65,66.0266369,508.277512
1/9/2013,0,33.5,24.4,68.13645833,396.7607656
1/10/2013,0,34,25.6,62.17430556,453.3947368
1/11/2013,0.2,31.9,23.8,70.68194444,278.4330144
1/12/2013,0,34.2,23.9,60.50173611,532.9090909
1/13/2013,0,34.3,22.1,59.74756944,522.3732057
1/14/2013,0,34.3,22.9,64.63832753,409.6435407
1/15/2013,0,33.9,22.9,63.58194444,462.0861244
1/16/2013,0,32.6,23,64.88541667,409.2416268
1/17/2013,0,34.1,23.9,58.63819444,520.5933014
1/18/2013,0,32.6,23.6,56.71114983,465.3732057
1/19/2013,0,31.9,23.3,62.50451389,392.5406699
1/20/2013,0,32.1,23.1,61.04340278,422.5334928
1/21/2013,0,33.2,23.7,58.13125,448.1555024
1/22/2013,0,33.4,24.3,60.68194444,456.9401914
1/23/2013,0,31.9,23.8,62.76666667,373.8875598
1/24/2013,0,33.3,23.3,60.32604167,446.3899522
1/25/2013,0,33.2,23.5,58.89513889,383.2607656
1/26/2013,0,33.7,24.8,61.27944251,375.7033493
1/27/2013,0,33.1,23.8,62.81388889,421.4784689
1/28/2013,0,33.8,22.7,63.72118056,522.0358852
1/29/2013,0,34.2,21.7,64.17291667,484.1267943
1/30/2013,0,34.9,21.7,65.13680556,464.0741627
1/31/2013,0,34.4,22.3,59.66111111,447.2440191
2/1/2013,0,33.4,24.4,55.39583333,506.0382775
2/2/2013,0,33.6,22.8,56.15451389,544.0909091
2/3/2013,0,32.6,22.8,60.39756944,343.6866029
2/4/2013,0.6,34,23.8,64.32395833,476.6913876
2/5/2013,0,34.3,23.9,61.42986111,434.3899522
2/6/2013,0,34.4,23.7,60.72951389,500.6124402
2/7/2013,0,34.2,23.8,59.80034722,453.4090909
2/8/2013,0,34.6,21.3,59.88506944,559.0909091
2/9/2013,0,32.7,22.7,60.41597222,433.6794258
2/10/2013,0,33.3,24.4,58.33333333,355.5502392
2/11/2013,0,33.9,23.1,63.26840278,344.791866
2/12/2013,0.4,33.6,23,68.49131944,388.6076555
2/13/2013,0,34.6,22.1,61.584375,516.437799
2/14/2013,0,32.9,20.8,66.72395833,583.1483254
2/15/2013,0,34.9,21.5,61.23958333,511.076555
2/16/2013,0,35.1,21.3,54.14756944,587.9856459
2/17/2013,0,30.4,22.7,60.46770833,257.9354067
2/18/2013,0,31.7,23.1,56.64791667,531.2655502
2/19/2013,0,34,22.8,54.778125,576.9976077
2/20/2013,0,33.8,23.7,61.14618056,432.7464115
2/21/2013,0,32.7,24.5,62.43854167,379.0047847
2/22/2013,0,34.7,23.7,57.01006944,521.8349282
2/23/2013,0,34.7,22.4,64.80208333,494.8277512
2/24/2013,0,35.7,22.4,64.96423611,505.7368421
2/25/2013,0,32.9,21.9,73.25069444,462.3516746
2/26/2013,0,33.1,22.9,70.3,546.84689
2/27/2013,0,35.3,22.3,59.56215278,575.0669856
2/28/2013,0,35.7,22.6,57.22152778,422.0956938
3/1/2013,0,35.7,22.1,56.17847222,503.9569378
3/2/2013,0,34.3,22.7,57.11736111,394.6866029
3/3/2013,0,32.2,21.4,45.00555556,591.861244
3/4/2013,0,32.3,20.6,41.63263889,630.2009569
3/5/2013,0,33.6,22.7,52.84444444,447.4665072
3/6/2013,0,34.9,24.8,53.83125,458.0598086
3/7/2013,0,34.2,23.2,46.83159722,639.3229665
3/8/2013,0,33.6,22.7,46.58263889,632.0095694
3/9/2013,0,33.9,23.6,52.72430556,498.6028708
3/10/2013,0,33.3,24.3,63.28125,472.1196172
3/11/2013,0,34.3,21.4,66.18333333,382.8373206
3/12/2013,0,35.7,24,56.55069444,421.9952153
3/13/2013,0,35.4,24.5,54.38888889,350.3684211
3/14/2013,0,35.3,24.6,51.08611111,562.4210526
3/15/2013,0,32.9,24.7,52.95173611,506.354067
3/16/2013,0,31.6,23.9,58.86111111,494.5406699
3/17/2013,0,35.6,22.8,58.69618056,507.5311005
3/18/2013,0,32.8,22.2,66.23402778,372.8684211
3/19/2013,0,34.7,23.4,64.68645833,452.9354067
3/20/2013,0,32.9,22.7,65.53993056,555.1291866
3/21/2013,0,33.2,23.7,67.03993056,559.3205742
3/22/2013,0,33.4,24.4,65.425,626.1961722
3/23/2013,0,32.9,23.2,65.82465278,625.7368421
3/24/2013,0,34.5,22.1,64.98402778,662.0956938
3/25/2013,0,34.3,25.1,63.46979167,622.9019139
3/26/2013,0,37.7,24.4,55.67118056,577.492823
3/27/2013,0,37.2,26.1,52.23368056,590.8564593
3/28/2013,0,33.7,24.3,52.20868056,507.1507177
3/29/2013,0,33.1,23.9,55.98159722,454.6220096
3/30/2013,0,35.1,23.7,53.88333333,470.8779904
3/31/2013,0,35.2,25.1,57.6125,427.4066986
4/1/2013,0,37.1,26.6,56.46423611,393.0789474
4/2/2013,0,36.5,25.6,55.25972222,436.5358852
4/3/2013,0,36.9,24.8,57.77986111,563.6555024
4/4/2013,0,35.4,24.7,64.84513889,461.6483254
4/5/2013,0,36.6,25.8,65.753125,421.930622
4/6/2013,0,36.7,23.9,58.82604167,549.6818182
4/7/2013,0,37.1,23.9,49.58229167,628.0406699
4/8/2013,0,34.1,23,61.46319444,422.5550239
4/9/2013,0,36.1,25.3,58.15659722,454.1483254
4/10/2013,0,35.7,24.6,60.28576389,586.6578947
4/11/2013,0,35.1,24.3,63.08055556,611.4976077
4/12/2013,0,34.6,24.1,64.51840278,494.1602871
4/13/2013,0,35.9,25.1,59.96666667,492.3086124
4/14/2013,0,35.3,22.5,62.76666667,503.3181818
4/15/2013,0,34.9,24,64.21319444,546.7392344
4/16/2013,0,38.1,26.6,58.61358885,442.5143541
4/17/2013,0,38.8,26.7,55.53854167,532.5717703
4/18/2013,0,37.2,23.3,62.12326389,530.576555
4/19/2013,0,35.8,24.2,61.97569444,510.3086124
4/20/2013,0,39,24.5,61.87569444,413.8564593
4/21/2013,0,38.8,24.8,62.23645833,571.9593301
4/22/2013,0,38.1,23.7,60.51354167,420.7607656
4/23/2013,0,36.6,24.9,57.10381944,471.3301435
4/24/2013,0,38.3,24.1,53.65555556,503.2392344
4/25/2013,0,36.3,25.8,52.19027778,377.4617225
